Wersja j?zykowa (PL/EN),Zgoda na udzia? (wszyscy = 1),Kod polecaj?cy (nieobligatoryjne),"Po raz kt¢ry gra (1 = 1, 2 = 2, 3 = 3, 4 i 4+ = 4)","P?e? (M??czyzna, Kobieta, Inna)",Skala Kinseya (0-6),"Biseksualno?? - scenariusz z kobiet? = F, scenariusz z m??czyzn? = M)",Wiek,"PozytywnaPrezentacja1 (a= sexy, b = kind, c = wealthy, d = healthy, e = artyzm)","PozytywnaPrezentacja2 (a= sexy, b = kind, c = wealthy, d = healthy, e = artyzm)","PozytywnaPrezentacja3 (a= sexy, b = kind,c = wealthy, d = healthy, e = artyzm)","PozytywnaPrezentacja4 (a= sexy, b = kind, c = wealthy, d = healthy, e = artyzm)","PozytywnaPrezentacja5 (a= sexy, b = kind, c = wealthy, d = healthy, e = artistic)","PozytywnaPrezentacja6 (a= sexy, b = kind, c = wealthy, d= healthy,  e= artistic)","ObrzydliwaPrezencja1 (a = patogen, b = sex, c = moral)","ObrzydliwaPrezencja2 (a = patogen, b = sex, c = moral)","ObrzydliwaPrezencja3 (a = patogen, b = sex, c = moral)","ObrzydliwaPrezencja4 (a = patogen, b = sex, c = moral)","ObrzydliwaPrezencja5 (a = patogen, b = sex, c = moral)","ObrzydliwaPrezencja6 (a = patogen, b = sex, c = moral)",Tybur1 (0-6),Tybur2 (0-6),Tybur3(0-6),Tybur4 (0-6),Tybur5 (0-6),Tybur6(0-6),Tybur7 (0-6),Tybur8 (0-6),Tybur9 (0-6),Tybur10 (0-6),Tybur11 (0-6),Tybur12 (0-6),Tybur13 (0-6),Tybur14 (0-6),Tybur15 (0-6),Tybur16 (0-6),Tybur17 (0-6),Tybur18 (0-6),Tybur19 (0-6),Tybur20 (0-6),Tybur21 (0-6),SelfArt (1-11),SelfHealth (1-11),SelfKind (1-11),SelfSexy (1-11),SelfWealth (1-11),IdealArt (1-11),IdealHealth (1-11),IdealKind (1-11),IdealSexy (1-11,IdealWealth (1-11),HasChildren?,HowManyKids,YoungestKidAge,OldestKidAge,"MilkVSCereal (a - milk first, b- cereal first)",attention check,relationship status,timestamp
pl,TRUE,NA,1,f,0,m,24,e,b,a,b,c,e,c,b,b,c,b,b,0,2,6,0,1,5,0,0,4,0,3,6,0,2,4,0,4,4,0,3,3,7,9,6,7,9,4,9,6,6,9,Nie,0,NA,NA,b,2,single,12/16/2022 18:18
pl,TRUE,NA,1,f,1,m,29,b,a,a,e,e,a,c,b,a,c,a,b,4,1,6,5,0,3,5,0,3,6,1,4,3,1,2,4,3,4,5,1,5,10,6,8,7,9,7,7,7,7,7,Nie,0,NA,NA,b,2,in relationship,12/16/2022 18:03
en,TRUE,game,1,m,4,m,35,a,e,d,d,e,a,c,a,b,a,b,b,3,6,0,0,4,0,6,6,3,6,5,2,5,6,5,6,5,1,0,6,5,2,5,6,2,3,6,4,5,6,4,Yes,1,3,NA,b,2,in relationship,3/13/2023 23:22
en,TRUE,NA,1,f,1,m,44,e,c,e,d,c,b,c,a,c,a,c,a,4,4,1,6,1,0,4,3,4,6,6,1,5,6,6,1,5,2,4,4,1,6,8,7,8,8,6,8,8,8,8,Yes,4,12,20,b,2,in relationship,2/6/2023 21:43
pl,TRUE,NA,1,m,5,m,20,e,e,d,d,c,e,a,b,a,b,a,c,1,6,1,4,1,0,1,2,5,6,6,3,6,6,6,4,6,4,6,2,3,9,8,7,7,6,8,8,9,8,8,Nie,0,NA,NA,b,2,single,2/12/2023 17:07
en,TRUE,NA,1,f,0,m,31,e,a,a,e,a,a,c,b,a,c,c,c,3,1,6,4,5,1,3,3,4,4,6,6,6,2,6,6,5,6,3,4,6,6,9,11,6,6,9,11,11,11,9,No,0,NA,NA,b,2,single,3/29/2023 16:21
en,TRUE,INSTAGRAM STUDY,1,f,5,f,19,e,a,c,b,b,b,a,a,c,a,c,c,1,6,6,3,5,1,2,3,3,5,6,5,3,5,4,5,5,2,2,4,5,6,7,7,5,6,6,7,8,7,6,No,0,NA,NA,b,2,in relationship,1/23/2023 16:25
en,TRUE,game,1,m,1,f,31,d,c,c,b,d,d,c,c,a,a,b,a,2,3,1,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,3,4,7,3,4,5,5,5,4,5,No,0,NA,NA,a,4,in relationship,3/21/2023 15:03
pl,TRUE,NA,1,f,4,f,18,a,c,c,d,d,b,a,c,c,c,a,b,3,2,5,6,2,3,1,1,0,6,2,5,3,3,4,5,3,6,5,1,0,7,9,7,6,7,8,8,9,10,9,Nie,0,NA,NA,b,2,single,2/7/2023 10:59
en,TRUE,INSTAGRAM STUDY,1,m,4,m,20,c,a,c,b,e,e,a,b,b,c,a,c,3,2,4,5,0,1,5,0,1,6,2,5,5,0,2,6,5,6,5,0,4,9,7,8,4,5,7,8,10,9,6,No,0,NA,NA,b,2,single,1/23/2023 20:14
en,TRUE,game,1,f,0,m,45,a,c,a,a,a,a,b,c,a,c,c,b,6,5,6,6,0,5,5,3,6,6,6,5,6,3,6,5,6,6,6,5,6,3,9,6,6,7,6,9,11,7,7,Yes,2,12,22,b,2,in relationship,2/6/2023 22:54
pl,TRUE,AB12,1,f,2,m,31,e,a,a,a,a,a,b,a,a,c,b,b,4,0,6,5,0,2,1,0,1,5,0,4,1,0,1,3,6,4,1,0,2,6,7,6,6,6,6,9,8,6,10,Nie,0,NA,NA,b,2,in relationship,12/28/2022 2:16
en,TRUE,game,1,m,3,m,30,a,e,b,a,c,c,b,b,b,b,a,c,2,2,2,2,2,4,2,3,2,2,2,1,1,1,2,3,4,3,4,3,4,1,1,1,1,5,5,6,6,11,5,No,0,NA,NA,b,1,single,2/6/2023 21:33
en,TRUE,game,1,f,0,m,35,b,a,d,e,a,c,c,a,c,b,a,b,3,4,4,4,5,4,4,3,4,4,5,3,4,4,3,4,4,5,5,5,5,7,8,10,10,8,8,10,9,7,8,Yes,1,10,NA,a,2,in relationship,3/29/2023 16:18
pl,TRUE,KG0902,1,m,0,f,22,d,d,c,a,a,a,b,b,a,c,b,c,3,0,1,6,0,3,4,3,0,6,0,5,3,1,0,2,4,2,4,0,2,2,11,10,9,9,9,11,10,9,6,Nie,0,NA,NA,b,2,single,1/7/2023 14:37
en,TRUE,game,1,m,3,f,30,d,b,a,e,d,b,c,c,a,c,b,a,3,5,6,3,5,0,6,4,1,3,3,3,6,5,0,1,6,0,3,5,3,6,11,11,6,9,6,9,7,8,9,Yes,4,5,10,b,2,in relationship,3/21/2023 13:57
en,TRUE,game,1,m,0,f,43,d,e,b,e,a,d,a,c,a,c,b,c,4,3,6,3,2,4,6,1,3,3,6,4,3,1,6,4,3,5,2,5,3,6,1,11,6,1,6,11,6,6,6,No,0,NA,NA,b,2,in relationship,2/6/2023 21:20
en,TRUE,NA,1,m,0,f,29,c,c,e,a,e,e,b,a,c,c,c,b,5,6,6,6,0,1,2,2,3,6,0,5,6,1,1,4,3,1,3,1,4,7,6,6,5,7,6,6,7,6,6,No,0,NA,NA,a,2,single,2/6/2023 22:31
en,TRUE,game,1,m,0,f,47,e,a,a,d,b,e,a,c,b,c,b,b,2,0,6,2,0,2,2,0,4,3,0,6,3,0,5,3,0,4,3,1,6,6,5,6,5,3,6,6,6,6,6,No,0,NA,NA,b,2,in relationship,2/6/2023 20:37
en,TRUE,game,1,f,0,m,31,e,e,b,b,a,a,a,b,c,c,b,c,2,4,3,3,3,0,1,2,1,3,2,4,4,4,2,3,4,4,4,4,2,5,6,7,7,3,6,6,7,6,10,Yes,1,8,NA,b,2,single,2/24/2023 2:02
pl,TRUE,KG0902,1,f,0,m,23,c,e,a,e,b,e,b,a,b,c,a,c,4,5,3,5,1,0,2,2,0,6,0,6,3,6,4,1,6,3,5,3,4,9,6,9,8,6,6,9,8,6,6,Nie,0,NA,NA,b,2,in relationship,1/8/2023 13:20
pl,TRUE,NA,1,f,0,m,34,e,c,e,b,b,e,a,a,b,c,c,a,5,1,2,6,1,2,2,2,2,6,6,0,1,0,5,6,6,4,5,2,1,3,8,6,3,10,2,10,10,3,9,Nie,0,NA,NA,b,2,single,12/16/2022 23:01
en,TRUE,game,1,f,0,m,34,d,c,d,b,d,c,c,c,a,a,c,c,4,5,5,5,4,4,5,4,4,5,5,4,4,4,5,3,4,5,5,3,4,9,9,8,10,9,9,10,9,7,9,Yes,1,7,NA,b,2,in relationship,2/6/2023 21:14
pl,TRUE,AB13,1,m,0,f,23,e,a,c,c,a,a,c,b,c,c,a,a,6,3,6,6,0,4,0,0,1,3,2,1,2,0,1,2,2,2,2,4,4,1,7,7,7,5,4,4,5,5,5,Nie,0,NA,NA,b,2,in relationship,2/12/2023 15:19
en,TRUE,99950,1,m,6,m,42,c,b,d,a,b,e,c,a,a,b,a,b,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11,Yes,2,8,6,b,2,in relationship,2/6/2023 21:17
en,TRUE,INSTAGRAM STUDY,1,f,3,m,21,e,a,a,b,c,e,a,a,b,b,b,b,4,5,5,6,0,0,4,0,1,5,3,3,4,0,1,5,6,3,3,0,5,6,7,7,6,7,6,6,7,6,6,No,0,NA,NA,b,2,in relationship,1/23/2023 23:09
pl,TRUE,NA,1,m,0,f,28,e,e,e,d,b,b,c,b,a,c,b,b,3,2,4,5,2,3,4,3,3,5,3,2,2,2,3,5,3,5,5,3,5,10,8,8,6,9,8,8,9,8,7,Nie,0,NA,NA,b,2,single,12/18/2022 13:00
pl,TRUE,KG0902,1,f,0,m,37,a,a,b,a,a,d,c,b,c,a,c,b,6,6,6,6,1,5,3,1,6,6,4,5,4,2,5,5,5,6,2,1,4,8,8,9,9,7,9,9,10,10,10,Tak,1,5,NA,a,2,in relationship,1/29/2023 23:52
en,TRUE,game,1,m,0,f,30,e,a,a,d,e,c,a,c,a,c,c,b,3,2,4,4,2,3,4,2,2,3,4,4,3,4,3,2,3,3,2,2,3,6,11,7,6,8,8,7,8,6,6,Yes,1,3,NA,a,2,in relationship,3/7/2023 19:05
en,TRUE,INSTAGRAM STUDY,1,f,6,f,20,e,c,e,e,a,b,c,c,b,c,b,a,2,6,6,6,0,0,2,0,5,5,6,6,6,4,5,6,4,6,5,6,6,7,6,7,5,4,8,6,7,8,8,No,0,NA,NA,b,2,single,1/23/2023 23:45
pl,TRUE,AB12,1,f,4,f,27,b,e,d,c,c,d,c,c,c,c,c,a,5,4,5,6,1,1,2,1,5,5,5,2,2,2,4,6,6,6,5,3,4,6,6,7,8,5,7,9,9,8,8,Nie,0,NA,NA,a,2,in relationship,12/24/2022 13:32
en,TRUE,game,1,m,0,f,44,b,e,a,e,a,a,b,b,b,b,b,b,4,5,5,4,2,3,1,4,2,4,1,0,4,1,4,2,4,0,2,0,2,6,11,11,6,6,11,6,11,11,6,No,0,NA,NA,b,2,single,2/6/2023 20:43
en,TRUE,game,1,f,0,m,30,d,d,b,b,c,e,c,c,a,b,c,b,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,6,7,5,6,7,4,3,4,6,7,Yes,1,5,NA,b,2,in relationship,3/21/2023 14:02
en,TRUE,76642,1,f,5,f,28,b,c,d,d,e,b,b,c,c,c,a,a,5,4,5,5,4,4,5,4,5,6,5,6,5,6,5,6,5,4,5,4,5,2,2,3,3,2,10,10,5,8,7,Yes,1,5,NA,b,5,in relationship,2/6/2023 20:35
pl,TRUE,NA,1,f,1,m,25,a,a,d,a,d,a,b,b,c,b,b,b,0,0,2,0,0,3,0,0,3,0,0,1,0,0,4,0,1,2,0,0,6,3,10,7,8,6,5,10,10,8,9,Nie,0,NA,NA,b,2,other,12/16/2022 22:53
en,TRUE,game,2,m,0,f,-30,b,e,e,b,e,a,b,c,c,b,a,b,6,5,5,4,5,4,5,5,4,5,5,5,5,5,5,4,5,5,4,4,5,3,3,3,2,4,2,9,9,9,9,Yes,0,NA,NA,a,2,in relationship,3/11/2023 0:07
